,data,temp_celsius,turbidez_ntu
0,2025-01-01,,3.67
1,2025-01-02,20.02,5.01
2,2025-01-03,21.14,4.51
3,2025-01-04,22.37,4.71
4,2025-01-05,20.45,3.04
5,2025-01-06,20.63,4.54
6,2025-01-07,22.98,5.75
7,2025-01-08,22.19,9.26
8,2025-01-09,20.88,7.24
9,2025-01-10,,13.15
10,2025-01-11,21.24,3.05
11,2025-01-12,21.4,6.93
12,2025-01-13,22.42,4.91
13,2025-01-14,20.0,13.4
14,2025-01-15,20.39,2.99
15,2025-01-16,21.95,2.95
16,2025-01-17,21.57,3.32
17,2025-01-18,23.32,1.55
18,2025-01-19,22.0,3.45
19,2025-01-20,21.54,3.07
20,2025-01-21,25.14,4.83
21,2025-01-22,,5.32
22,2025-01-23,23.74,11.45
23,2025-01-24,22.09,7.21
24,2025-01-25,23.27,3.36
25,2025-01-26,24.18,2.86
26,2025-01-27,22.79,5.73
27,2025-01-28,24.74,2.32
28,2025-01-29,23.67,11.2
29,2025-01-30,24.15,8.08
30,2025-01-31,23.88,3.54
31,2025-02-01,26.92,1.9
32,2025-02-02,24.77,8.82
33,2025-02-03,23.6,4.23
34,2025-02-04,25.94,8.32
35,2025-02-05,23.56,2.02
36,2025-02-06,25.34,3.32
37,2025-02-07,22.8,4.49
38,2025-02-08,,4.59
39,2025-02-09,25.5,3.58
40,2025-02-10,26.2,6.12
41,2025-02-11,25.56,2.63
42,2025-02-12,25.24,4.17
43,2025-02-13,25.05,4.76
44,2025-02-14,23.66,5.8
45,2025-02-15,24.59,6.4
46,2025-02-16,24.91,2.55
47,2025-02-17,26.73,2.08
48,2025-02-18,25.87,8.49
49,2025-02-19,23.34,5.29
50,2025-02-20,25.83,3.08
51,2025-02-21,24.96,9.73
52,2025-02-22,24.58,4.75
53,2025-02-23,26.1,8.08
54,2025-02-24,26.56,4.64
55,2025-02-25,26.4,12.56
56,2025-02-26,24.23,10.78
57,2025-02-27,24.81,3.96
58,2025-02-28,25.52,7.28
59,2025-03-01,26.23,6.19
60,2025-03-02,24.41,8.88
61,2025-03-03,24.69,2.77
62,2025-03-04,23.5,6.32
63,2025-03-05,23.31,7.61
64,2025-03-06,25.63,1.86
65,2025-03-07,26.19,2.48
66,2025-03-08,24.37,1.62
67,2025-03-09,25.56,3.92
68,2025-03-10,24.68,6.42
69,2025-03-11,23.36,9.5
70,2025-03-12,24.45,4.65
71,2025-03-13,25.74,10.12
72,2025-03-14,23.73,2.25
73,2025-03-15,25.52,1.91
74,2025-03-16,20.37,4.36
75,2025-03-17,24.36,5.43
76,2025-03-18,23.34,4.41
77,2025-03-19,,1.59
78,2025-03-20,23.06,4.29
79,2025-03-21,20.42,2.33
80,2025-03-22,22.39,6.26
81,2025-03-23,22.93,5.38
82,2025-03-24,24.12,2.8
83,2025-03-25,,3.47
84,2025-03-26,21.07,2.64
85,2025-03-27,21.28,4.34
86,2025-03-28,22.82,7.23
87,2025-03-29,21.95,2.74
88,2025-03-30,20.76,5.77
89,2025-03-31,21.85,3.44
90,2025-04-01,21.19,3.01
91,2025-04-02,22.07,4.25
92,2025-04-03,19.9,2.67
93,2025-04-04,20.19,3.4
94,2025-04-05,,2.46
95,2025-04-06,18.51,11.97
96,2025-04-07,45.46,4.56
97,2025-04-08,20.25,3.16
98,2025-04-09,19.79,4.99
